post_coef,scenario,draw
2.718382208978666e-10,2,321
2.718382196495518e-10,1,322
2.718382215189535e-10,2,322
2.71838244978378e-10,1,323
2.7183822330365193e-10,2,323
2.7183821465036334e-10,1,324
2.718382294501465e-10,2,324
2.718382279301459e-10,1,325
2.7183822177729856e-10,2,325
2.7183823817204477e-10,1,326
2.718382233301217e-10,2,326
2.718382081654791e-10,1,327
2.718382260531209e-10,2,327
2.718382155261954e-10,1,328
2.718382174733124e-10,2,328
2.718382098036408e-10,1,329
2.718382208654676e-10,2,329
2.7183820066500235e-10,1,330
2.718382167010301e-10,2,330
2.7183820620290376e-10,1,331
2.7183822011669047e-10,2,331
2.718382094148527e-10,1,332
2.7183821838175523e-10,2,332
2.7183822527893276e-10,1,333
2.718382045264138e-10,2,333
2.718382209713467e-10,1,334
2.718382208243865e-10,2,334
2.718382312954078e-10,1,335
2.7183822536363606e-10,2,335
2.718382038744102e-10,1,336
2.718382121710979e-10,2,336
2.718382197960885e-10,1,337
2.7183821197792145e-10,2,337
2.7183821072690673e-10,1,338
2.718382244729809e-10,2,338
2.718382190346059e-10,1,339
2.7183821784981854e-10,2,339
2.718382158988899e-10,1,340
2.718382266828899e-10,2,340
2.7183822102174517e-10,1,341
2.7183822089989154e-10,2,341
2.7183821698224505e-10,1,342
2.718382167958978e-10,2,342
2.7183821302575415e-10,1,343
2.7183822016179497e-10,2,343
2.7183821659430396e-10,1,344
2.7183821589973694e-10,2,344
2.7183822679808636e-10,1,345
2.718382104704675e-10,2,345
2.7183821687721296e-10,1,346
2.718382197074677e-10,2,346
2.7183821966448075e-10,1,347
2.7183821854574875e-10,2,347
2.718382287576971e-10,1,348
2.718382301798654e-10,2,348
2.718382135030572e-10,1,349
2.718382243114094e-10,2,349
2.718382151331721e-10,1,350
2.718382120347256e-10,2,350
2.7183821260192004e-10,1,351
2.7183821925938725e-10,2,351
2.7183822532975474e-10,1,352
2.718382077826202e-10,2,352
2.7183821806231793e-10,1,353
2.718382169221057e-10,2,353
2.718382163684638e-10,1,354
2.718382201429485e-10,2,354
