term,coef,scenario,draw
post_g6,-0.026191464040586893,2,23
post_g1,-0.014435150537053677,1,24
post_g2,-0.019345526777567342,1,24
post_g3,-0.004600880128405715,1,24
post_g4,0.021321786864992663,1,24
post_g5,0.0018112235973821733,1,24
post_g6,0.04661638239285172,1,24
post_g1,-0.016529857518702586,2,24
post_g2,-0.01157858001891605,2,24
post_g3,0.0021924173444359952,2,24
post_g4,0.021295855596323132,2,24
post_g5,0.002141966790244742,2,24
post_g6,0.008494606878383052,2,24
post_g1,-0.015273511053568108,1,25
post_g2,-0.0015761733579686748,1,25
post_g3,-0.004120995414861621,1,25
post_g4,0.021720777782552568,1,25
post_g5,0.01330116632478031,1,25
post_g6,0.015212310592381942,1,25
post_g1,-0.015590725872992435,2,25
post_g2,0.0047847546554397186,2,25
post_g3,0.0040264357934031055,2,25
post_g4,0.021825949726383655,2,25
post_g5,0.013585947195694146,2,25
post_g6,-0.023018246570585224,2,25
post_g1,-0.005964934731650402,1,26
post_g2,0.015696935693659257,1,26
post_g3,-0.00638351359846402,1,26
post_g4,0.02598142136032071,1,26
post_g5,0.0038871588750466995,1,26
post_g6,-0.004200490488077899,1,26
post_g1,-0.006531918927197686,2,26
post_g2,0.024175856842789566,2,26
post_g3,-0.0005811605001892449,2,26
post_g4,0.02546073033105324,2,26
post_g5,0.003033341977764495,2,26
post_g6,-0.03997164998750062,2,26
post_g1,-0.007186611178800874,1,27
post_g2,-0.002261521234817935,1,27
post_g3,-0.004744320350732407,1,27
post_g4,0.020076835546929978,1,27
post_g5,0.0007557725843254854,1,27
post_g6,0.02233968584814878,1,27
post_g1,-0.005391967223478832,2,27
post_g2,0.0024897090950173396,2,27
post_g3,3.857822984504176e-05,2,27
post_g4,0.02025506474225206,2,27
post_g5,-0.00028904481187986186,2,27
post_g6,-0.011604804702255838,2,27
post_g1,-0.007874938633815252,1,28
post_g2,0.015173150942120803,1,28
post_g3,-0.003212420661834253,1,28
post_g4,0.02143307919528031,1,28
post_g5,-0.0031099776733051155,1,28
post_g6,0.006498499338971101,1,28
post_g1,-0.01071603931378624,2,28
post_g2,0.02628841886003641,2,28
post_g3,0.00203199872687948,2,28
post_g4,0.021558508446411058,2,28
post_g5,-0.003908756142582285,2,28
post_g6,-0.02969940633254576,2,28
post_g1,-0.005292874089283482,1,29
post_g2,0.010883336815676124,1,29
post_g3,0.001716441071772937,1,29
post_g4,0.02553868558262286,1,29
post_g5,0.005192044241140245,1,29
post_g6,-0.004768858501094257,1,29
post_g1,-0.010385577826594456,2,29
post_g2,0.021682691571633193,2,29
post_g3,0.007591722988931627,2,29
post_g4,0.02568886376157821,2,29
post_g5,0.004552543696392699,2,29
post_g6,-0.042739387706375656,2,29
post_g1,0.0019341410034685578,1,30
post_g2,-0.0053476685735882965,1,30
post_g3,0.0004740488617376912,1,30
post_g4,0.027627831805488074,1,30
post_g5,0.012417684051902729,1,30
post_g6,-0.007002293132443408,1,30
post_g1,-0.002240128787645832,2,30
post_g2,0.004106037656158138,2,30
post_g3,0.00837959626562056,2,30
post_g4,0.027311075598003703,2,30
post_g5,0.009680651045283171,2,30
post_g6,-0.0414751773101191,2,30
post_g1,-0.0067556576831284965,1,31
post_g2,0.008531881424389903,1,31
post_g3,-0.010302033678652366,1,31
post_g4,0.024660375745185904,1,31
post_g5,0.009419285079942677,1,31
post_g6,0.008355216035957593,1,31
post_g1,-0.010105909612910413,2,31
post_g2,0.017469309957231557,2,31
post_g3,-0.004097349185038568,2,31
post_g4,0.02478776185002627,2,31
post_g5,0.009885760919808907,2,31
post_g6,-0.03142411916348389,2,31
post_g1,-0.003732331403627692,1,32
post_g2,-0.0023744930503815922,1,32
post_g3,0.003461627680663938,1,32
post_g4,0.024836911228843878,1,32
post_g5,0.0039249243986061505,1,32
post_g6,0.0025449188966566467,1,32
post_g1,-0.007850661946860078,2,32
post_g2,0.004889042483928043,2,32
post_g3,0.011751423725777223,2,32
post_g4,0.024575059083569495,2,32
post_g5,0.003816345915755269,2,32
post_g6,-0.03167374468071338,2,32
post_g1,-0.023602608644622575,1,33
post_g2,-0.0021143359215257855,1,33
post_g3,-0.008237374645379337,1,33
post_g4,0.02421461071066614,1,33
post_g5,0.0035931859066955342,1,33
post_g6,0.032616345747679194,1,33
post_g1,-0.022696487718739694,2,33
post_g2,0.003861146503268696,2,33
post_g3,-0.003159028399108441,2,33
post_g4,0.023740277924440074,2,33
post_g5,0.0041564159211082705,2,33
post_g6,-0.000811687812281335,2,33
post_g1,-0.013785613411688363,1,34
post_g2,-0.0077573499441596526,1,34
post_g3,0.004045850434017608,1,34
post_g4,0.02014370806229204,1,34
post_g5,0.017661007494134073,1,34
post_g6,0.0016284801347514787,1,34
post_g1,-0.013886103503013354,2,34
post_g2,-0.0009093372977403678,2,34
post_g3,0.009450882078080093,2,34
post_g4,0.020048639891650802,2,34
post_g5,0.014938935847708843,2,34
post_g6,-0.025419645797614514,2,34
post_g1,-0.0012500806441139833,1,35
post_g2,-0.0002488997613424945,1,35
post_g3,-0.006755731792314436,1,35
post_g4,0.022095332788741616,1,35
post_g5,-0.002511839549583786,1,35
post_g6,0.013345274068303395,1,35
post_g1,-0.0010853039989595116,2,35
post_g2,0.007780693341137,2,35
post_g3,-0.0023114763093802742,2,35
post_g4,0.02177584862063545,2,35
post_g5,-0.0021740402364933257,2,35
post_g6,-0.019218372063091134,2,35
post_g1,-0.017444305289028746,1,36
post_g2,-0.01460773150407435,1,36
post_g3,-0.002426959266294485,1,36
post_g4,0.032281961298244496,1,36
post_g5,-0.004598036091556139,1,36
post_g6,0.038149028303398336,1,36
post_g1,-0.02175137081064968,2,36
post_g2,-0.005260710265137369,2,36
post_g3,0.005727534931597772,2,36
post_g4,0.03219708096654189,2,36
post_g5,-0.0045921219401595555,2,36
post_g6,-0.00029512638499557887,2,36
post_g1,-0.01803695087122463,1,37
post_g2,0.011877151842108722,1,37
post_g3,-0.0037407101537291886,1,37
post_g4,0.024983680091003865,1,37
post_g5,0.015389100098559053,1,37
post_g6,0.002591996515610935,1,37
post_g1,-0.02380169107408124,2,37
post_g2,0.02394560367129824,2,37
post_g3,0.0030400366384320905,2,37
post_g4,0.02541564239420041,2,37
post_g5,0.016251339446418687,2,37
post_g6,-0.03848886865773256,2,37
post_g1,-0.015611284388493421,1,38
post_g2,-0.015288056402588027,1,38
post_g3,0.001067611480924629,1,38
post_g4,0.021971692397518672,1,38
post_g5,0.009060460098288137,1,38
post_g6,0.02879633374027326,1,38
post_g1,-0.017637043676256833,2,38
post_g2,-0.008845578473946875,2,38
post_g3,0.006814823143004967,2,38
post_g4,0.021866261328783245,2,38
post_g5,0.009297225340658615,2,38
post_g6,-0.005763717193593176,2,38
post_g1,-0.012882191301979429,1,39
post_g2,-0.0012786052579007298,1,39
post_g3,0.0015880204182671005,1,39
post_g4,0.02725921178984987,1,39
post_g5,-0.009602836953072728,1,39
post_g6,0.02420523892675111,1,39
post_g1,-0.017790243894813665,2,39
post_g2,0.010495502867166901,2,39
post_g3,0.008227079337428951,2,39
post_g4,0.027764210014836067,2,39
post_g5,-0.009824962641399263,2,39
post_g6,-0.013240108934417778,2,39
post_g1,-0.026602847212256506,1,40
post_g2,-0.027487695470196728,1,40
post_g3,-0.009084353783876918,1,40
post_g4,0.022372735331112854,1,40
post_g5,0.006988087792271503,1,40
post_g6,0.06117317912791744,1,40
post_g1,-0.027097553087426566,2,40
post_g2,-0.02098045398771749,2,40
post_g3,-0.003571626133480391,2,40
post_g4,0.022551360489994808,2,40
post_g5,0.00519696360312321,2,40
post_g6,0.0291065032399587,2,40
post_g1,-0.02934774986340434,1,41
post_g2,-0.011931707595156549,1,41
post_g3,-0.007804470768709648,1,41
post_g4,0.021319613958099504,1,41
post_g5,0.00992531952835896,1,41
post_g6,0.04153991227152061,1,41
post_g1,-0.03011124390266364,2,41
post_g2,-0.0023156303664833766,2,41
post_g3,-0.0017989276520623222,2,41
post_g4,0.02149228284687576,2,41
post_g5,0.008001468646722711,2,41
post_g6,0.009281159425009653,2,41
post_g1,-0.022109665552957975,1,42
post_g2,-0.001661376867768741,1,42
post_g3,-0.0023869456540567303,1,42
post_g4,0.025640315608934153,1,42
post_g5,0.004021548460771509,1,42
post_g6,0.024809741244204424,1,42
post_g1,-0.022501831107362175,2,42
post_g2,0.004905306845613067,2,42
post_g3,0.0020969590173166037,2,42
post_g4,0.025311153677994885,2,42
post_g5,0.004353382557632356,2,42
post_g6,-0.008743172388809707,2,42
